lineage	SRS011061	SRS011086	SRS011090	SRS011098	SRS011105	SRS011111	SRS011126	SRS011132	SRS011134	SRS011140	SRS011144	SRS011152	SRS011239	SRS011243	SRS011247	SRS011255	SRS011263	SRS011269	SRS011271	SRS011302	SRS011306	SRS011310	SRS011343	SRS011355	SRS011397	SRS011405	SRS011452	SRS011529	SRS011584	SRS011586	SRS012273	SRS012279	SRS012281	SRS012285	SRS012291	SRS012294	SRS012663	SRS012902	SRS013155	SRS013158	SRS013164	SRS013170	SRS013215	SRS013234	SRS013239	SRS013252	SRS013258	SRS013261	SRS013269	SRS013476	SRS013502	SRS013506	SRS013521	SRS013533	SRS013542	SRS013637	SRS013687	SRS013705	SRS013711	SRS013723	SRS013800	SRS013818	SRS013825	SRS013836	SRS013876	SRS013879	SRS013881	SRS013942	SRS013945	SRS013946	SRS013947	SRS013948	SRS013949	SRS013950	SRS013951	SRS013956	SRS014107	SRS014124	SRS014126	SRS014235	SRS014271	SRS014287	SRS014313	SRS014343	SRS014459	SRS014464	SRS014465	SRS014466	SRS014468	SRS014470	SRS014472	SRS014473	SRS014474	SRS014475	SRS014476	SRS014477	SRS014494	SRS014573	SRS014575	SRS014578	SRS014613	SRS014629	SRS014682	SRS014683	SRS014684	SRS014686	SRS014687	SRS014689	SRS014690	SRS014691	SRS014692	SRS014888	SRS014890	SRS014894	SRS014901	SRS014923	SRS014979	SRS015038	SRS015040	SRS015044	SRS015051	SRS015054	SRS015055	SRS015057	SRS015059	SRS015060	SRS015061	SRS015062	SRS015063	SRS015065	SRS015071	SRS015072	SRS015073	SRS015133	SRS015154	SRS015158	SRS015168	SRS015190	SRS015209	SRS015215	SRS015217	SRS015225	SRS015264	SRS015269	SRS015272	SRS015274	SRS015278	SRS015369	SRS015374	SRS015378	SRS015381	SRS015395	SRS015425	SRS015430	SRS015434	SRS015436	SRS015440	SRS015450	SRS015470	SRS015537	SRS015574	SRS015578	SRS015640	SRS015644	SRS015646	SRS015650	SRS015663	SRS015745	SRS015752	SRS015755	SRS015762	SRS015782	SRS015793	SRS015794	SRS015797	SRS015799	SRS015803	SRS015854	SRS015893	SRS015895	SRS015899	SRS015921	SRS015937	SRS015941	SRS015947	SRS015960	SRS015985	SRS015989	SRS015996	SRS016002	SRS016018	SRS016033	SRS016037	SRS016039	SRS016043	SRS016056	SRS016086	SRS016088	SRS016092	SRS016095	SRS016105	SRS016111	SRS016188	SRS016191	SRS016196	SRS016200	SRS016203	SRS016225	SRS016267	SRS016292	SRS016297	SRS016319	SRS016331	SRS016335	SRS016342	SRS016349	SRS016360	SRS016434	SRS016495	SRS016501	SRS016503	SRS016513	SRS016516	SRS016529	SRS016533	SRS016541	SRS016553	SRS016559	SRS016569	SRS016575	SRS016581	SRS016584	SRS016585	SRS016600	SRS016740	SRS016746	SRS016752	SRS016753	SRS016944	SRS016954	SRS016989	SRS017013	SRS017025	SRS017044	SRS017076	SRS017080	SRS017088	SRS017103	SRS017120	SRS017127	SRS017139	SRS017156	SRS017191	SRS017209	SRS017215	SRS017227	SRS017244	SRS017247	SRS017304	SRS017307	SRS017433	SRS017439	SRS017441	SRS017445	SRS017451	SRS017497	SRS017511	SRS017520	SRS017521	SRS017533	SRS017537	SRS017687	SRS017691	SRS017697	SRS017700	SRS017701	SRS017713	SRS017808	SRS017810	SRS017814	SRS017820	SRS017821	SRS017849	SRS017851	SRS018133	SRS018145	SRS018149	SRS018157	SRS018300	SRS018312	SRS018313	SRS018329	SRS018337	SRS018351	SRS018357	SRS018359	SRS018369	SRS018394	SRS018427	SRS018439	SRS018443	SRS018463	SRS018569	SRS018573	SRS018575	SRS018585	SRS018591	SRS018656	SRS018661	SRS018665	SRS018671	SRS018739	SRS018769	SRS018778	SRS018784	SRS018791	SRS018817	SRS018969	SRS018971	SRS018975	SRS018978	SRS018981	SRS019015	SRS019016	SRS019019	SRS019022	SRS019024	SRS019025	SRS019026	SRS019027	SRS019028	SRS019029	SRS019030	SRS019033	SRS019039	SRS019045	SRS019063	SRS019064	SRS019067	SRS019071	SRS019073	SRS019077	SRS019081	SRS019087	SRS019116	SRS019119	SRS019120	SRS019122	SRS019124	SRS019125	SRS019126	SRS019127	SRS019128	SRS019129	SRS019161	SRS019215	SRS019219	SRS019221	SRS019225	SRS019267	SRS019327	SRS019329	SRS019333	SRS019339	SRS019379	SRS019386	SRS019387	SRS019389	SRS019391	SRS019397	SRS019582	SRS019587	SRS019591	SRS019597	SRS019600	SRS019601	SRS019607	SRS019685	SRS019787	SRS019867	SRS019872	SRS019894	SRS019906	SRS019910	SRS019968	SRS019974	SRS019976	SRS019980	SRS019986	SRS019989	SRS020220	SRS020222	SRS020226	SRS020232	SRS020233	SRS020261	SRS020263	SRS020328	SRS020334	SRS020336	SRS020340	SRS020349	SRS020386	SRS020856	SRS020858	SRS020862	SRS020868	SRS020869	SRS021473	SRS021477	SRS021483	SRS021484	SRS021496	SRS021948	SRS021954	SRS021960	SRS021969	SRS021986	SRS022006	SRS022071	SRS022077	SRS022079	SRS022083	SRS022092	SRS022129	SRS022137	SRS022143	SRS022145	SRS022149	SRS022158	SRS022524	SRS022530	SRS022532	SRS022536	SRS022545	SRS022602	SRS022609	SRS022621	SRS022625	SRS022645	SRS022713	SRS022719	SRS022721	SRS022725	SRS022734	SRS023212	SRS023346	SRS023352	SRS023354	SRS023358	SRS023468	SRS023526	SRS023534	SRS023538	SRS023557	SRS023583	SRS023591	SRS023595	SRS023604	SRS023617	SRS023829	SRS023835	SRS023837	SRS023841	SRS023847	SRS023850	SRS023914	SRS023926	SRS023930	SRS023938	SRS023958	SRS023964	SRS023970	SRS023971	SRS023987	SRS024009	SRS024015	SRS024017	SRS024021	SRS024064	SRS024068	SRS024075	SRS024081	SRS024087	SRS024132	SRS024138	SRS024140	SRS024144	SRS024265	SRS024277	SRS024281	SRS024289	SRS024301	SRS024310	SRS024318	SRS024331	SRS024347	SRS024355	SRS024375	SRS024377	SRS024381	SRS024388	SRS024424	SRS024428	SRS024435	SRS024441	SRS024447	SRS024470	SRS024482	SRS024549	SRS024557	SRS024561	SRS024567	SRS024580	SRS024596	SRS024598	SRS024620	SRS024625	SRS024637	SRS024641	SRS024649	SRS024655	SRS042131	SRS042284	SRS042428	SRS042457	SRS042628	SRS042643	SRS042858	SRS042910	SRS042984	SRS043001	SRS043018	SRS043239	SRS043411	SRS043646	SRS043663	SRS043676	SRS043701	SRS043755	SRS043772	SRS043803	SRS044366	SRS044373	SRS044474	SRS044486	SRS044626	SRS044662	SRS044742	SRS045004	SRS045049	SRS045127	SRS045197	SRS045254	SRS045262	SRS045313	SRS045606	SRS045645	SRS045713	SRS045715	SRS045978	SRS046344	SRS046623	SRS046686	SRS046688	SRS046973	SRS047014	SRS047044	SRS047100	SRS047113	SRS047210	SRS047219	SRS047225	SRS047254	SRS047265	SRS047335	SRS047634	SRS047824	SRS047844	SRS048164	SRS048411	SRS048719	SRS048791	SRS048870	SRS049147	SRS049164	SRS049237	SRS049268	SRS049283	SRS049318	SRS049389	SRS049712	SRS049744	SRS049900	SRS049959	SRS049995	SRS050007	SRS050025	SRS050029	SRS050184	SRS050244	SRS050299	SRS050422	SRS050484	SRS050628	SRS050669	SRS050752	SRS050925	SRS051031	SRS051116	SRS051244	SRS051378	SRS051505	SRS051600	SRS051613	SRS051791	SRS051882	SRS051930	SRS051941	SRS052027	SRS052227	SRS052330	SRS052590	SRS052604	SRS052620	SRS052668	SRS052697	SRS052756	SRS052874	SRS052876	SRS052988	SRS053214	SRS053335	SRS053398	SRS053437	SRS053584	SRS053603	SRS053630	SRS053854	SRS053917	SRS054061	SRS054430	SRS054569	SRS054590	SRS054653	SRS054687	SRS054776	SRS054956	SRS054962	SRS055118	SRS055298	SRS055378	SRS055401	SRS055426	SRS055450	SRS055495	SRS055982	SRS056157	SRS056210	SRS056259	SRS056323	SRS056519	SRS056622	SRS056695	SRS056796	SRS056892	SRS057022	SRS057083	SRS057205	SRS057355	SRS057478	SRS057539	SRS057692	SRS057717	SRS057791	SRS057807	SRS058053	SRS058105	SRS058182	SRS058186	SRS058213	SRS058221	SRS058336	SRS058723	SRS058770	SRS058808	SRS062427	SRS062520	SRS062540	SRS062544	SRS062713	SRS062752	SRS062761	SRS062878	SRS063035	SRS063040	SRS063178	SRS063193	SRS063215	SRS063272	SRS063287	SRS063288	SRS063351	SRS063417	SRS063478	SRS063603	SRS063932	SRS063985	SRS063999	SRS064219	SRS064276	SRS064329	SRS064376	SRS064423	SRS064449	SRS064493	SRS064557	SRS064645	SRS064704	SRS064774	SRS064809	SRS065099	SRS065133	SRS065142	SRS065179	SRS065278	SRS065310	SRS065335	SRS065347	SRS065431	SRS065504	SRS075398	SRS075404	SRS075406	SRS075410	SRS075419	SRS077730	SRS077736	SRS077738	SRS077751	SRS078176
Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp. subtype 1																																																																																																																																																																																																																																																																																										0.021008	0.001860																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp. subtype 2																																																																																																																																																																																																																																																																																				0.016933																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp. subtype 3																												0.010452																													0.052411																																																																																																														0.001142																																	0.010649																										0.006607																																																																									0.000781																																																																																																																																																																								0.109304																																																																																																																																														0.099831																																																																																																																																				
Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp. subtype 4																																																																																0.006114																																																										0.070091																																																																																																																																																																																																																																																0.111259																																																																																																																																																													0.029587																																																																																																																																																																																																														
Eukaryota;Parabasalia;;Trichomonadida;Trichomonadidae;Trichomonas;Trichomonas tenax																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																0.000730															0.023463																																																																																																																																																																						
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium phlei																																																																																																																																																																																																																																																																																																																																															0.152255																																																																																																																																																																																																																																																																																																																																																																																																																						
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium sphaerospermum																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	0.049122																																																																																																																																																																																																				
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Cercospora;Cercospora beticola																																																																																																																																																																																																																																																																																																																																																																																																																			0.022947																																																																																																																																																																																																																																																																																																																																																		
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Cercospora;Cercospora cf. flagellaris																																																																																																																																																																																																																																																																																																																																																																																																																			0.021395																																																																																																																																																																																																																																																																																																																																																		
Fungi;Ascomycota;Dothideomycetes;Dothideales;Saccotheciaceae;Aureobasidium;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	0.034442																																												0.006204																																																																																																																																																																																																																																								
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Epicoccum;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		0.369276																																																																					0.007168																																																																																																														
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Epicoccum;Epicoccum nigrum					0.035428		0.001741																																																																																																0.019761																																																																																																																																													0.082219																					0.073960																																					0.258585																			0.027909			0.005092																																																																								0.006389	0.001254						0.040184																																																																																																																																																										0.004096																																																																																																																													0.017833																																																											
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;;																																																																																																																																																																																																																																																																																																																																	0.011226																																																																																																																																																																																																																																																																																																																																																																																																																																				
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;																																																0.002663																																																																																																																																																																																																																																		0.133443																																															0.012468																																																																																		0.037975																																																																																																																																																																																																			0.047801																																																																																																																																															
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;Alternaria alternata																																																																																																																																																																																																																																			0.063134																																																																																														0.004243																																																																																		0.010474																																																																																																																																																																																																																																																																																																																																																		
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;Alternaria arborescens																																																																																																																																																																																																																																																																																																																																	0.003596																																																											0.087384																							0.011705																																																																																																																																																																																																																																																																																																																																																		
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;Alternaria gaisen																																																0.001895																																																																																																																																																																																																																																																																																	0.003777																																																																				0.038072								0.001530						0.012349																																																																																																																																																																																																																																																																																																																																																		
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;Alternaria tenuissima																																																0.001403																																																																																																																																																																																																																																																																																	0.005339																																																											0.236595																							0.011037																																																																																																																																																																																																																																																																																																																																																		
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Bipolaris;																																																																																																																																																																																																																																																																																																														0.122328																																																																																																																																																																																																																																																				0.001635																																																																																																																																																																																																			
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Bipolaris;Bipolaris oryzae																																																																																																																																																																																																																																																																																																														0.150355																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Curvularia;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	0.010412																																																																																																																																																																																																																																																																																				
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Sporormiaceae;Preussia;Preussia sp. BSL10																																																																																																																																																																																																																																																																																																																																																																																																					0.036569														0.035970																																																																																																																																														0.045646																																																																																																																																						0.002322																																																														
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;																																																																																																																																																																																																																																																																																												0.002461																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus fumigatus																																																																																																																																																																																																																																																																																																																																																																																																																																																															0.001468	0.001186		0.005825	0.001233																																																																																																																																																																																																																																																																												0.086213																						
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus glaucus																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						0.003013																																															
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus sydowii																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							0.002732																																																														
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;														0.001863	0.013391	0.001913	0.265179	0.01622																																																																																																							0.136406					0.002736																			0.000758	0.041933																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium chrysogenum																																																																																																																																																																																																																																																																																																																																	0.023885																																																																																																																																																																																																																																																																																																																																																																																																																																				
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium freii																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				0.000645																																																																																																																																																																																																																	
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium solitum																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				0.000432																																																																																																																																																																																																																	
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Thermoascaceae;Byssochlamys;Byssochlamys sp. AF001																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.007071																																																																																																																																																																																																																																								
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces wortmannii																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				0.000521																																																																																																																																																																																																																	
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Thermomyces;Thermomyces lanuginosus																																																																																																																																																																																												0.000724																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Botryotinia;Botryotinia calthae																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.000262																								
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Botryotinia;Botryotinia convoluta																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.000226																								
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Botrytis;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.000318																								
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Botrytis;Botrytis cinerea																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													0.000192																								
Fungi;Ascomycota;Pneumocystidomycetes;Pneumocystidales;Pneumocystidaceae;Pneumocystis;Pneumocystis jirovecii																																																																																																																																																																									0.084308														0.041250																																																																					0.239726																																																																																																																																0.382843																							0.017342																																																																																																																																																																																																																																																																																																																																																		
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;;;																																																																																																																																																			0.007722																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;;Candida;Candida sake																																																																																																																											0.017791	0.001071																																																																																																																																																																																																																																																																																																																																																																																																							0.003233		0.034019																																																																																																																																																																																																																																
