lineage	SRR9843650	SRR9843651	SRR9843652	SRR9843653	SRR9843654	SRR9843655	SRR9843656	SRR9843657	SRR9843658	SRR9843659	SRR9843660	SRR9843661	SRR9843662	SRR9843663	SRR9843664	SRR9843665	SRR9843666	SRR9843667	SRR9843668	SRR9843669	SRR9843670	SRR9843671	SRR9843672	SRR9843673	SRR9843674	SRR9843675	SRR9843676	SRR9843677	SRR9843678	SRR9843679	SRR9843680	SRR9843681	SRR9843682	SRR9843683	SRR9843684	SRR9843685	SRR9843686	SRR9843687	SRR9843688	SRR9843689	SRR9843690	SRR9843691	SRR9843692	SRR9843693	SRR9843694	SRR9843695	SRR9843696	SRR9843697	SRR9843698	SRR9843699	SRR9843700	SRR9843701	SRR9843702	SRR9843703	SRR9843704	SRR9843705	SRR9843706	SRR9843707	SRR9843708	SRR9843709	SRR9843710	SRR9843711	SRR9843712	SRR9843713	SRR9843714	SRR9843715	SRR9843716	SRR9843717	SRR9843718	SRR9843719	SRR9843720	SRR9843721	SRR9843722	SRR9843723	SRR9843724	SRR9843725	SRR9843726	SRR9843727	SRR9843728	SRR9843729	SRR9843730	SRR9843731	SRR9843732	SRR9843733	SRR9843734	SRR9843735	SRR9843736	SRR9843737	SRR9843738	SRR9843739	SRR9843740	SRR9843741	SRR9843742	SRR9843743	SRR9843744	SRR9843745	SRR9843746	SRR9843747	SRR9843748	SRR9843749	SRR9843750	SRR9843751	SRR9843752	SRR9843753	SRR9843754	SRR9843755	SRR9843756	SRR9843757	SRR9843758	SRR9843759	SRR9843760	SRR9843761	SRR9843762	SRR9843763	SRR9843764	SRR9843765	SRR9843766	SRR9843767	SRR9843768	SRR9843769	SRR9843770	SRR9843771	SRR9843772	SRR9843773	SRR9843774	SRR9843775	SRR9843776	SRR9843777	SRR9843779	SRR9843780	SRR9843781	SRR9843782	SRR9843783	SRR9843784	SRR9843785	SRR9843786	SRR9843787	SRR9843788	SRR9843789	SRR9843790	SRR9843791	SRR9843792	SRR9843793	SRR9843794	SRR9843795	SRR9843796	SRR9843797	SRR9843798	SRR9843799	SRR9843800	SRR9843801	SRR9843802	SRR9843803	SRR9843804	SRR9843805	SRR9843806	SRR9843807	SRR9843808	SRR9843809	SRR9843811	SRR9843812	SRR9843813	SRR9843814	SRR9843815	SRR9843816	SRR9843817	SRR9843818	SRR9843819	SRR9843820	SRR9843821	SRR9843822	SRR9843823	SRR9843824	SRR9843825	SRR9843826	SRR9843827	SRR9843828	SRR9843829	SRR9843830	SRR9843831	SRR9843832	SRR9843833	SRR9843834	SRR9843835	SRR9843836	SRR9843837	SRR9843838	SRR9843839	SRR9843840	SRR9843841	SRR9843842	SRR9843843	SRR9843844	SRR9843845	SRR9843846	SRR9843847	SRR9843848	SRR9843849	SRR9843850	SRR9843851	SRR9843852	SRR9843853	SRR9843854	SRR9843855	SRR9843856	SRR9843857	SRR9843858	SRR9843859	SRR9843860	SRR9843861	SRR9843862	SRR9843863	SRR9843864	SRR9843865	SRR9843866	SRR9843867	SRR9843868	SRR9843869	SRR9843870	SRR9843871	SRR9843872	SRR9843873	SRR9843874	SRR9843875	SRR9843876	SRR9843877	SRR9843878	SRR9843879	SRR9843880	SRR9843881	SRR9843882	SRR9843883	SRR9843884	SRR9843885	SRR9843886	SRR9843887	SRR9843888	SRR9843889	SRR9843890	SRR9843891	SRR9843892	SRR9843893	SRR9843894	SRR9843895	SRR9843896	SRR9843897	SRR9843898	SRR9843899	SRR9843900	SRR9843901	SRR9843902	SRR9843904	SRR9843905	SRR9843906	SRR9843907	SRR9843908	SRR9843909	SRR9843910	SRR9843911	SRR9843912	SRR9843913	SRR9843914	SRR9843915	SRR9843916	SRR9843917	SRR9843918	SRR9843919	SRR9843920	SRR9843921	SRR9843922	SRR9843923	SRR9843924	SRR9843925	SRR9843926	SRR9843927	SRR9843928	SRR9843929	SRR9843930	SRR9843931	SRR9843932	SRR9843933	SRR9843934	SRR9843935	SRR9843936	SRR9843937	SRR9843938	SRR9843939	SRR9843940	SRR9843941	SRR9843942	SRR9843943	SRR9843944	SRR9843945	SRR9843946	SRR9843947	SRR9843948	SRR9843949	SRR9843950	SRR9843951	SRR9843952	SRR9843953	SRR9843954	SRR9843955	SRR9843956	SRR9843957	SRR9843958	SRR9843959	SRR9843960	SRR9843961	SRR9843962	SRR9843963	SRR9843964	SRR9843965	SRR9843966	SRR9843967	SRR9843968	SRR9843969	SRR9843970	SRR9843971	SRR9843972	SRR9843973	SRR9843974	SRR9843975	SRR9843976	SRR9843977	SRR9843978	SRR9843979	SRR9843980	SRR9843981	SRR9843982	SRR9843983	SRR9843984	SRR9843985	SRR9843986	SRR9843987	SRR9843988	SRR9843989	SRR9843990	SRR9843991	SRR9843992	SRR9843993	SRR9843994	SRR9843995	SRR9843996	SRR9843997	SRR9843998	SRR9843999	SRR9844000	SRR9844001	SRR9844002	SRR9844003	SRR9844004	SRR9844005	SRR9844006	SRR9844007	SRR9844008	SRR9844009	SRR9844010	SRR9844011	SRR9844012	SRR9844013	SRR9844014	SRR9844015	SRR9844016	SRR9844017	SRR9844018	SRR9844019	SRR9844020	SRR9844021	SRR9844022	SRR9844023	SRR9844024	SRR9844025	SRR9844026	SRR9844027	SRR9844028	SRR9844029	SRR9844030	SRR9844031	SRR9844032	SRR9844033	SRR9844034	SRR9844035	SRR9844036	SRR9844037	SRR9844038	SRR9844039	SRR9844040	SRR9844041	SRR9844042	SRR9844043	SRR9844044	SRR9844045	SRR9844046	SRR9844047	SRR9844048	SRR9844049	SRR9844050	SRR9844051	SRR9844052	SRR9844053	SRR9844054	SRR9844055	SRR9844056	SRR9844057	SRR9844058	SRR9844059	SRR9844060	SRR9844061	SRR9844062	SRR9844063	SRR9844064	SRR9844065	SRR9844066	SRR9844067	SRR9844068	SRR9844069	SRR9844070	SRR9844071	SRR9844072	SRR9844073	SRR9844074	SRR9844075	SRR9844076	SRR9844077	SRR9844078	SRR9844079	SRR9844080	SRR9844081	SRR9844082	SRR9844083	SRR9844084	SRR9844085	SRR9844086	SRR9844087	SRR9844088	SRR9844089	SRR9844090	SRR9844091	SRR9844092	SRR9844093	SRR9844094	SRR9844095	SRR9844096	SRR9844097	SRR9844098	SRR9844099	SRR9844100	SRR9844101	SRR9844102	SRR9844103	SRR9844104	SRR9844105	SRR9844106	SRR9844107	SRR9844108	SRR9844109	SRR9844110	SRR9844111	SRR9844112	SRR9844113	SRR9844114	SRR9844115	SRR9844116	SRR9844117	SRR9844118	SRR9844119	SRR9844120	SRR9844121	SRR9844122	SRR9844123	SRR9844124	SRR9844125	SRR9844126	SRR9844127	SRR9844128	SRR9844129	SRR9844130	SRR9844131	SRR9844132	SRR9844133	SRR9844134	SRR9844135	SRR9844136	SRR9844137	SRR9844138	SRR9844139	SRR9844140	SRR9844141	SRR9844142	SRR9844143	SRR9844144	SRR9844145	SRR9844146	SRR9844147	SRR9844148	SRR9844149	SRR9844150	SRR9844151	SRR9844152	SRR9844153	SRR9844154	SRR9844155	SRR9844156	SRR9844157	SRR9844158	SRR9844159	SRR9844160	SRR9844161	SRR9844162	SRR9844163	SRR9844164	SRR9844165	SRR9844167	SRR9844168	SRR9844169	SRR9844170	SRR9844171	SRR9844172	SRR9844173	SRR9844174	SRR9844175	SRR9844176	SRR9844177	SRR9844178	SRR9844179	SRR9844180	SRR9844181	SRR9844182	SRR9844183	SRR9844184	SRR9844185	SRR9844186	SRR9844187	SRR9844188	SRR9844189	SRR9844190	SRR9844191	SRR9844192	SRR9844193	SRR9844194	SRR9844195	SRR9844196	SRR9844197	SRR9844198	SRR9844199	SRR9844200	SRR9844201	SRR9844202	SRR9844203	SRR9844204	SRR9844205	SRR9844206	SRR9844207	SRR9844208	SRR9844209	SRR9844210	SRR9844211	SRR9844212	SRR9844213	SRR9844214	SRR9844215	SRR9844216	SRR9844217	SRR9844218	SRR9844219	SRR9844220	SRR9844221	SRR9844222	SRR9844223	SRR9844224	SRR9844225	SRR9844226	SRR9844227	SRR9844228	SRR9844229	SRR9844230	SRR9844231	SRR9844232	SRR9844233	SRR9844234	SRR9844235	SRR9844236	SRR9844237	SRR9844238	SRR9844240	SRR9844241	SRR9844242	SRR9844243	SRR9844244	SRR9844245	SRR9844246	SRR9844247	SRR9844248	SRR9844249
Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;																																																																																																																																				0.014533							0.015129																																															0.037651																								0.029387																			0.023942					0.014846																															0.015102																											0.033862																		0.023368		0.02138					0.039429						0.023929				0.014643																0.020564	0.038094																																										0.05461																																	0.011122																																			0.022435															0.037787								0.036177								0.017323										0.018057																																							0.00975			0.036749																																																										
Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp. subtype 1										0.014951																						0.012183																																																																																																																																																																															0.036740																																																																																																																																																																												0.012049																																																																																																															0.018878																																																																																																									
Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp. subtype 2																																																																				0.038195																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp. subtype 3																																																																																																																							0.012501								0.003457																																																																												0.018265		0.013532																																																					0.007643																																																																																																															0.017233												0.012829										0.026008																																												0.018633																																																															0.025309																																																																																																	
Eukaryota;Evosea;;Mastigamoebida;Entamoebidae;Entamoeba;																																																																																																																																																																																																																																																																																																																													0.043755																																																																																																																																																																																																																																																																																						
Eukaryota;Evosea;;Mastigamoebida;Entamoebidae;Entamoeba;Entamoeba dispar																																																																																																																																																																																																																																																																																																																																																																																																																																			0.013051																																																																																																																																																																																
Eukaryota;Fornicata;;Diplomonadida;Hexamitidae;Giardia;																																																																																																																																																																																																																																																																																																																																	0.203638																																																																																																																																																																																																																																																																																		
Eukaryota;Fornicata;;Diplomonadida;Hexamitidae;Giardia;Giardia intestinalis																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			0.105056														0.163258																																																		
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					0.017874																																																														
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia kudriavzevii	0.014801																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Nakaseomyces;[Candida] glabrata																																														0.022076																																																																																																																																																																																																																						0.023972																																																																																																																																																																																																																																																																																																																																															
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;																																																		0.019041																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;Saccharomyces cerevisiae																																												0.083557																																																																																																																																																	0.026525										0.005106																																																					0.023361																																																																																																																			0.007999																																																																																																																																																																																																																																				
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia restricta																																																																													0.101789																																																																					0.016382																																																																																																																																																																																																																																																																																																																																																																																										0.015812																										0.019620																																													
Metazoa;Nematoda;Chromadorea;Rhabditida;Oxyuridae;Enterobius;																																																																																																																																																															0.044880									0.042064																																																																																																																																																																																																																																																																																																																																																																																																																		0.049223																									
Metazoa;Nematoda;Chromadorea;Rhabditida;Oxyuridae;Enterobius;Enterobius vermicularis																																																																																																																																																																																																																																																																																																																																																																																																																																							0.022851																																																																																																																										0.013902																																																		
Metazoa;Platyhelminthes;Trematoda;Strigeidida;Schistosomatidae;Schistosoma;																																																																																																																																																										0.028582																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Metazoa;Platyhelminthes;Trematoda;Strigeidida;Schistosomatidae;Schistosoma;Schistosoma bovis																																																																																																																																																																																																																																																																																																									0.011872																																																																																																																																																																																																																																																																																																										
Metazoa;Platyhelminthes;Trematoda;Strigeidida;Schistosomatidae;Schistosoma;Schistosoma curassoni																																																																																																																																																																																																																																																																																																									0.027711																																																																																																																																																																																																																																																																																																										
