lineage	SRS5179215.SRR9865499	SRS5179216.SRR9865498	SRS5179217.SRR9865497	SRS5179218.SRR9865496	SRS5179219.SRR9865495	SRS5179220.SRR9865494	SRS5179221.SRR9865493	SRS5179222.SRR9865492	SRS5179223.SRR9865491	SRS5179224.SRR9865490	SRS5179225.SRR9865489	SRS5179226.SRR9865488	SRS5179227.SRR9865487	SRS5179228.SRR9865486	SRS5179229.SRR9865485	SRS5179230.SRR9865484	SRS5179231.SRR9865483	SRS5179232.SRR9865482	SRS5179233.SRR9865481	SRS5179234.SRR9865480	SRS5179235.SRR9865479	SRS5179236.SRR9865478	SRS5179237.SRR9865477	SRS5179238.SRR9865476	SRS5179239.SRR9865475	SRS5179240.SRR9865474	SRS5179241.SRR9865473	SRS5179242.SRR9865472	SRS5179243.SRR9865471	SRS5179244.SRR9865470	SRS5179245.SRR9865469	SRS5179246.SRR9865468	SRS5179247.SRR9865467	SRS5179248.SRR9865466	SRS5179249.SRR9865465	SRS5179250.SRR9865464	SRS5179251.SRR9865463	SRS5179252.SRR9865462	SRS5179253.SRR9865461	SRS5179254.SRR9865460	SRS5179255.SRR9865459	SRS5179256.SRR9865458	SRS5179257.SRR9865457	SRS5179258.SRR9865456	SRS5179259.SRR9865455	SRS5179260.SRR9865454	SRS5179261.SRR9865453	SRS5179262.SRR9865452	SRS5179263.SRR9865451	SRS5179264.SRR9865450	SRS5179265.SRR9865449	SRS5179266.SRR9865448	SRS5179267.SRR9865447	SRS5179268.SRR9865446	SRS5179269.SRR9865445	SRS5179270.SRR9865444	SRS5179271.SRR9865443	SRS5179272.SRR9865442	SRS5179273.SRR9865441	SRS5179274.SRR9865440	SRS5179275.SRR9865439	SRS5179276.SRR9865438	SRS5179277.SRR9865437	SRS5179278.SRR9865436	SRS5179279.SRR9865435	SRS5179280.SRR9865434	SRS5179281.SRR9865433	SRS5179282.SRR9865432	SRS5179283.SRR9865431	SRS5179284.SRR9865430	SRS5179285.SRR9865429	SRS5179286.SRR9865428	SRS5179287.SRR9865427	SRS5179288.SRR9865426	SRS5179289.SRR9865425	SRS5179290.SRR9865424	SRS5179291.SRR9865423	SRS5179292.SRR9865422	SRS5179293.SRR9865421	SRS5179294.SRR9865420	SRS5179295.SRR9865419	SRS5179296.SRR9865418	SRS5179297.SRR9865417	SRS5179298.SRR9865415	SRS5179299.SRR9865416	SRS5179300.SRR9865414	SRS5179301.SRR9865413	SRS5179302.SRR9865586	SRS5179303.SRR9865584	SRS5179304.SRR9865585	SRS5179305.SRR9865583	SRS5179306.SRR9865581	SRS5179307.SRR9865582	SRS5179308.SRR9865580	SRS5179309.SRR9865579	SRS5179310.SRR9865578	SRS5179311.SRR9865577	SRS5179312.SRR9865576	SRS5179313.SRR9865575	SRS5179314.SRR9865574	SRS5179315.SRR9865573	SRS5179316.SRR9865572	SRS5179317.SRR9865571	SRS5179318.SRR9865570	SRS5179319.SRR9865569	SRS5179320.SRR9865568	SRS5179321.SRR9865567	SRS5179322.SRR9865566	SRS5179323.SRR9865565	SRS5179324.SRR9865564	SRS5179325.SRR9865563	SRS5179326.SRR9865562	SRS5179327.SRR9865561	SRS5179328.SRR9865560	SRS5179329.SRR9865559	SRS5179330.SRR9865558	SRS5179331.SRR9865557	SRS5179332.SRR9865556	SRS5179333.SRR9865555	SRS5179334.SRR9865554	SRS5179335.SRR9865553	SRS5179336.SRR9865552	SRS5179337.SRR9865550	SRS5179338.SRR9865551	SRS5179339.SRR9865549	SRS5179340.SRR9865548	SRS5179341.SRR9865547	SRS5179342.SRR9865545	SRS5179343.SRR9865546	SRS5179344.SRR9865544	SRS5179345.SRR9865543	SRS5179346.SRR9865542	SRS5179347.SRR9865541	SRS5179348.SRR9865540	SRS5179349.SRR9865539	SRS5179350.SRR9865538	SRS5179351.SRR9865537	SRS5179352.SRR9865535	SRS5179353.SRR9865534	SRS5179354.SRR9865536	SRS5179355.SRR9865532	SRS5179356.SRR9865533	SRS5179357.SRR9865531	SRS5179358.SRR9865530	SRS5179359.SRR9865529	SRS5179360.SRR9865527	SRS5179361.SRR9865528	SRS5179362.SRR9865526	SRS5179363.SRR9865524	SRS5179364.SRR9865525	SRS5179365.SRR9865523	SRS5179366.SRR9865522	SRS5179367.SRR9865521	SRS5179368.SRR9865520	SRS5179369.SRR9865519	SRS5179370.SRR9865518	SRS5179371.SRR9865517	SRS5179372.SRR9865516	SRS5179373.SRR9865515	SRS5179374.SRR9865513	SRS5179375.SRR9865514	SRS5179376.SRR9865512	SRS5179377.SRR9865510	SRS5179378.SRR9865511	SRS5179379.SRR9865509	SRS5179380.SRR9865508	SRS5179381.SRR9865507	SRS5179382.SRR9865506	SRS5179383.SRR9865505	SRS5179384.SRR9865504	SRS5179385.SRR9865503	SRS5179386.SRR9865502	SRS5179387.SRR9865501	SRS5179388.SRR9865500	SRS5179389.SRR9865667	SRS5179390.SRR9865666	SRS5179391.SRR9865665	SRS5179392.SRR9865663	SRS5179393.SRR9865664	SRS5179394.SRR9865662	SRS5179395.SRR9865661	SRS5179396.SRR9865660	SRS5179397.SRR9865659	SRS5179398.SRR9865658	SRS5179399.SRR9865656	SRS5179400.SRR9865657	SRS5179401.SRR9865655	SRS5179402.SRR9865654	SRS5179403.SRR9865653	SRS5179404.SRR9865652	SRS5179405.SRR9865651	SRS5179406.SRR9865650	SRS5179407.SRR9865649	SRS5179408.SRR9865648	SRS5179409.SRR9865646	SRS5179410.SRR9865647	SRS5179411.SRR9865645	SRS5179412.SRR9865644	SRS5179413.SRR9865643	SRS5179414.SRR9865642	SRS5179415.SRR9865641	SRS5179416.SRR9865640	SRS5179417.SRR9865639	SRS5179418.SRR9865638	SRS5179419.SRR9865637	SRS5179420.SRR9865636	SRS5179421.SRR9865634	SRS5179422.SRR9865635	SRS5179423.SRR9865633	SRS5179424.SRR9865632	SRS5179425.SRR9865631	SRS5179426.SRR9865630	SRS5179427.SRR9865629	SRS5179428.SRR9865628	SRS5179429.SRR9865627	SRS5179430.SRR9865626	SRS5179431.SRR9865625	SRS5179432.SRR9865624	SRS5179433.SRR9865623	SRS5179434.SRR9865622	SRS5179435.SRR9865621	SRS5179436.SRR9865620	SRS5179437.SRR9865619	SRS5179438.SRR9865617	SRS5179439.SRR9865618	SRS5179440.SRR9865616	SRS5179441.SRR9865615	SRS5179442.SRR9865614	SRS5179443.SRR9865613	SRS5179444.SRR9865612	SRS5179445.SRR9865611	SRS5179446.SRR9865610	SRS5179447.SRR9865609	SRS5179448.SRR9865608	SRS5179449.SRR9865607	SRS5179450.SRR9865606	SRS5179451.SRR9865605	SRS5179452.SRR9865604	SRS5179453.SRR9865603	SRS5179454.SRR9865602	SRS5179455.SRR9865601	SRS5179456.SRR9865600	SRS5179457.SRR9865599	SRS5179458.SRR9865598	SRS5179459.SRR9865597	SRS5179460.SRR9865596	SRS5179461.SRR9865595	SRS5179462.SRR9865594	SRS5179463.SRR9865593	SRS5179464.SRR9865592	SRS5179465.SRR9865591	SRS5179466.SRR9865590	SRS5179467.SRR9865589	SRS5179468.SRR9865588	SRS5179469.SRR9865587	SRS5179470.SRR9865754	SRS5179471.SRR9865753	SRS5179472.SRR9865752	SRS5179473.SRR9865751	SRS5179474.SRR9865750	SRS5179475.SRR9865749	SRS5179476.SRR9865748	SRS5179477.SRR9865747	SRS5179478.SRR9865746	SRS5179479.SRR9865745	SRS5179480.SRR9865744	SRS5179481.SRR9865743	SRS5179482.SRR9865742	SRS5179483.SRR9865741	SRS5179484.SRR9865740	SRS5179485.SRR9865739	SRS5179486.SRR9865738	SRS5179487.SRR9865737	SRS5179488.SRR9865736	SRS5179489.SRR9865735	SRS5179490.SRR9865734	SRS5179491.SRR9865733	SRS5179492.SRR9865731	SRS5179493.SRR9865732	SRS5179494.SRR9865730	SRS5179495.SRR9865729	SRS5179496.SRR9865728	SRS5179497.SRR9865727	SRS5179498.SRR9865726	SRS5179499.SRR9865725	SRS5179500.SRR9865724	SRS5179501.SRR9865723	SRS5179502.SRR9865722	SRS5179503.SRR9865721	SRS5179504.SRR9865720	SRS5179505.SRR9865719	SRS5179506.SRR9865718	SRS5179507.SRR9865717	SRS5179508.SRR9865716	SRS5179509.SRR9865715	SRS5179510.SRR9865714	SRS5179511.SRR9865713	SRS5179512.SRR9865712	SRS5179513.SRR9865711	SRS5179514.SRR9865710	SRS5179515.SRR9865709	SRS5179516.SRR9865708	SRS5179517.SRR9865707	SRS5179518.SRR9865706	SRS5179519.SRR9865705	SRS5179520.SRR9865704	SRS5179521.SRR9865703	SRS5179522.SRR9865702	SRS5179523.SRR9865701	SRS5179524.SRR9865700	SRS5179525.SRR9865698	SRS5179526.SRR9865699	SRS5179527.SRR9865697	SRS5179528.SRR9865696	SRS5179529.SRR9865695	SRS5179530.SRR9865694	SRS5179531.SRR9865693	SRS5179532.SRR9865692	SRS5179533.SRR9865691	SRS5179534.SRR9865690	SRS5179535.SRR9865689	SRS5179536.SRR9865688	SRS5179537.SRR9865687	SRS5179538.SRR9865686	SRS5179539.SRR9865685	SRS5179540.SRR9865684	SRS5179541.SRR9865683	SRS5179542.SRR9865682	SRS5179543.SRR9865681	SRS5179544.SRR9865680	SRS5179545.SRR9865679	SRS5179546.SRR9865678	SRS5179547.SRR9865677	SRS5179548.SRR9865676	SRS5179549.SRR9865675	SRS5179550.SRR9865674	SRS5179551.SRR9865673	SRS5179552.SRR9865672	SRS5179553.SRR9865671	SRS5179554.SRR9865670	SRS5179555.SRR9865669	SRS5179556.SRR9865668	SRS5179557.SRR9865841	SRS5179558.SRR9865840	SRS5179559.SRR9865839	SRS5179560.SRR9865838	SRS5179561.SRR9865837	SRS5179562.SRR9865836	SRS5179563.SRR9865835	SRS5179564.SRR9865834	SRS5179565.SRR9865833	SRS5179566.SRR9865832	SRS5179567.SRR9865831	SRS5179568.SRR9865829	SRS5179569.SRR9865830	SRS5179570.SRR9865828	SRS5179571.SRR9865827	SRS5179572.SRR9865826	SRS5179573.SRR9865825	SRS5179574.SRR9865824	SRS5179575.SRR9865823	SRS5179576.SRR9865822	SRS5179577.SRR9865821	SRS5179578.SRR9865820	SRS5179579.SRR9865819	SRS5179580.SRR9865818	SRS5179581.SRR9865817	SRS5179582.SRR9865816	SRS5179583.SRR9865815	SRS5179584.SRR9865814	SRS5179585.SRR9865813	SRS5179586.SRR9865812	SRS5179587.SRR9865811	SRS5179588.SRR9865810	SRS5179589.SRR9865809	SRS5179590.SRR9865808	SRS5179591.SRR9865807	SRS5179592.SRR9865806	SRS5179593.SRR9865805	SRS5179594.SRR9865804	SRS5179595.SRR9865803	SRS5179596.SRR9865802	SRS5179597.SRR9865801	SRS5179598.SRR9865800	SRS5179599.SRR9865799	SRS5179600.SRR9865798	SRS5179601.SRR9865797	SRS5179602.SRR9865796	SRS5179603.SRR9865795	SRS5179604.SRR9865794	SRS5179605.SRR9865793	SRS5179606.SRR9865792	SRS5179607.SRR9865791	SRS5179608.SRR9865790	SRS5179609.SRR9865789	SRS5179610.SRR9865788	SRS5179611.SRR9865787	SRS5179612.SRR9865786	SRS5179613.SRR9865785	SRS5179614.SRR9865784	SRS5179615.SRR9865782	SRS5179616.SRR9865783	SRS5179617.SRR9865781	SRS5179618.SRR9865780	SRS5179619.SRR9865779	SRS5179620.SRR9865778	SRS5179621.SRR9865777	SRS5179622.SRR9865776	SRS5179623.SRR9865775	SRS5179624.SRR9865774	SRS5179625.SRR9865773	SRS5179626.SRR9865772	SRS5179627.SRR9865771	SRS5179628.SRR9865769	SRS5179629.SRR9865770	SRS5179630.SRR9865768	SRS5179631.SRR9865767	SRS5179632.SRR9865766	SRS5179633.SRR9865765	SRS5179634.SRR9865764	SRS5179635.SRR9865763	SRS5179636.SRR9865762	SRS5179637.SRR9865761	SRS5179638.SRR9865760	SRS5179639.SRR9865758	SRS5179640.SRR9865759	SRS5179641.SRR9865756	SRS5179642.SRR9865757	SRS5179643.SRR9865755
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;																										0.052516										0.049396	0.020016		0.031502																																0.012669											0.013221																										0.253535																																																																																																																																																																0.076281																																																																																																																				1.190088																			0.022777																										
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida albicans									0.038537													0.013114	0.021314			0.125800	0.014429									0.045496	0.031745	0.103870	0.103503					0.021963	0.014374																					0.017727					0.024726			0.022091	0.019470							0.026247	0.008450																									0.357326		0.039948																																										0.032756		0.010428																0.015103		0.021359	0.023767						0.021534																																								0.019986										0.040826													0.019059	0.008862																								0.010313																														0.015956																																				0.012998	0.068642										0.047423																																				0.014987																							0.023416			0.017000																							
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida parapsilosis																																																																															0.010634					0.088887		0.007374		0.008522														0.011975	0.011881									0.005189																																									0.026468		0.627011				0.010954		0.012087				0.013726																																																														0.018245																																									0.235730			0.011996						0.020312													0.020993							0.004596																															0.012481					0.007009																						0.017732																									0.012536																																																	
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida tropicalis																																																																																					0.009549																										0.010795																																														0.016215	0.013261	0.011186																																	0.014299																																					0.028524															0.011601																																																																																																			0.031353																																								0.026155	5.001633																					0.009217																								
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces;																																																																																																																																																																																																																																																																																																																																																																																																0.026558																																													
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Hyphopichia;																																																																																																																																																																																																																																																																																																																																																																																																0.096748																																													
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Lodderomyces;																																																																																																																																																																																																																																																																																																																																																																																																0.085834																																													
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Spathaspora;																																																																																																																																																																																																																																																																																																																																																																																																0.731157																																													
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Suhomyces;																																																																																																																																																																																																																																																																																																																																																																																																0.099678																																													
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Teunomyces;Teunomyces cretensis																																																																																																																																																																																																																																																																																																																																																																																																0.006073																																													
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Yamadazyma;																																																																																																																																																																																																																																																																																																																																																																																																0.111633																																													
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora;Clavispora lusitaniae																																																																																							0.011125																																																																									0.025204																																																																																																																						0.035169																																																																																										0.014320																																																													
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia occidentalis																																																																																																																																																																																																																																							0.021809																																																																																																																																																																																																						
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;																																																																																											0.018528																																																																	0.019819																																																																																																																																																																																																																																																																																	
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;Saccharomyces cerevisiae																																	0.014506																																												0.009487														0.028577					0.005981		0.020403			0.012761																																						0.016554																	0.081101								0.023680																																																																																		0.033267				0.023504														0.013096																0.017622																																													0.014177																																									0.023375																			0.017436			0.041560			0.016353																																						
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Wickerhamiella;Wickerhamiella pararugosa																							0.015719																																																																																																																																																																				0.032014																																																																																																																																																																																																																																																		
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia globosa																																																																																																																									0.024323																																																																																																																						0.007172																																																																																																																																																																																														
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia restricta																																																									0.362283																																																					0.025244											0.035917																				0.007336																																									0.015907																																																																																						0.025178																																																																0.002838																		0.016892														0.005730	0.324508																																		0.012943																0.008711														
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia sympodialis																																																																																																																																																																																																																																																																																																																																																																																																																0.005029																													
