source_taxon	source_taxon_name	kingdom	avg_mapq	precision	precision_mapq_at_least_30
1157961	[Chlamydomonas] debaryana var. cristata	Plants	4.000	1.000	0.000
2614214	Fusarium cf. fujikuroi NRRL 66890	Fungi	4.488	0.512	0.500
2027526	Escovopsis sp. Ae733	Fungi	4.620	0.600	0.500
120645	Fusarium phaseoli	Fungi	5.025	0.425	1.000
1035309	Ceratocystis fimbriata CBS 114723	Fungi	5.208	0.547	1.000
2546455	Coniochaeta sp. IL0111	Fungi	5.333	0.429	1.000
2546453	Coniochaeta sp. YLH0009	Fungi	5.345	0.483	1.000
744408	Coniochaeta prunicola	Fungi	5.905	0.571	1.000
602636	Aphaenogaster fulva	Metazoa	6.190	0.524	1.000
1420908	Pseudogymnoascus sp. VKM F-4514 (FW-929)	Fungi	6.302	0.585	0.857
929235	Ceratocystis manginecans	Fungi	6.456	0.579	1.000
2614216	Fusarium cf. fujikuroi NRRL 62710	Fungi	6.457	0.486	1.000
5067	Aspergillus parasiticus	Fungi	6.688	0.625	1.000
179775	Cryphonectria macrospora	Fungi	6.690	0.586	1.000
1215338	Trichophyton interdigitale MR816	Fungi	6.923	0.683	0.950
633669	Ceratocystis eucalypticola	Fungi	7.026	0.592	1.000
33428	Heliconius pachinus	Metazoa	7.250	0.625	1.000
597209	Tetragonula davenporti	Metazoa	7.300	0.500	1.000
235270	Fusarium brasiliense	Fungi	7.396	0.646	0.875
2614215	Fusarium cf. fujikuroi NRRL 62721	Fungi	7.410	0.615	1.000
559882	Trichophyton equinum CBS 127.97	Fungi	7.538	0.575	0.897
270529	Tetragonula mellipes	Metazoa	7.597	0.581	0.889
103933	Bombus bifarius	Metazoa	7.718	0.654	0.923
2621847	unclassified Trichinella	Metazoa	7.727	0.364	1.000
1603071	Cryptosporidium sp. chipmunk LX-2015	Protists	7.792	0.667	1.000
207650	Bombus vosnesenskii	Metazoa	7.797	0.595	0.923
1147111	Fusarium euwallaceae	Fungi	7.811	0.622	1.000
281068	Fusarium cortaderiae	Fungi	7.960	0.680	1.000
1825620	Aspergillus pseudocaelatus	Fungi	8.035	0.565	1.000
29910	Tolypocladium inflatum	Fungi	8.081	0.559	0.857
148810	Tetragonula carbonaria	Metazoa	8.107	0.536	1.000
42896	Anopheles bwambae	Metazoa	8.263	0.672	0.969
357447	Aspergillus westerdijkiae	Fungi	8.409	0.606	0.917
1450538	Aspergillus violaceofuscus CBS 115571	Fungi	8.487	0.645	0.692
523103	Trichophyton mentagrophytes	Fungi	8.500	0.606	0.914
2590003	Micromonas sp. SAG8	Plants	8.800	1.000	1.000
1347389	Colletotrichum sidae	Fungi	8.807	0.633	0.967
72568	Mrakia psychrophila	Fungi	8.919	0.609	0.921
2010991	Fusarium kuroshium	Fungi	8.950	0.600	1.000
1279998	Cunninghamella bertholletiae 175	Fungi	8.954	0.593	0.950
132113	Bombus impatiens	Metazoa	9.016	0.691	0.920
30207	Polistes fuscatus	Metazoa	9.115	0.590	0.857
45882	Trichinella britovi	Metazoa	9.126	0.541	0.846
500656	Aphaenogaster rudis	Metazoa	9.194	0.417	0.833
2494418	Anopheles fontenillei	Metazoa	9.203	0.673	0.977
372025	Ascochyta fabae	Fungi	9.230	0.622	0.967
282268	Fusarium austroamericanum	Fungi	9.348	0.696	1.000
1174670	Fusarium azukicola	Fungi	9.508	0.556	0.846
144512	Trichinella murrelli	Metazoa	9.524	0.571	0.875
2598979	unclassified Coniochaeta	Fungi	9.540	0.660	0.900
1768030	Ectocarpus sp. Ec32	Protists	9.596	0.526	1.000
229533	Fusarium graminearum PH-1	Fungi	9.662	0.735	1.000
10228	Trichoplax adhaerens	Metazoa	9.738	0.638	0.897
83319	Meliponinae	Metazoa	9.800	0.800	1.000
1353007	Aspergillus phoenicis ATCC 13157	Fungi	9.811	0.756	1.000
44542	gambiae species complex	Metazoa	9.818	0.751	0.967
181606	Trichinella sp. T9	Metazoa	9.880	0.541	0.867
1677696	Ascochyta viciae	Fungi	9.919	0.659	0.976
92180	Trichinella sp. T8	Metazoa	9.939	0.567	0.941
559298	Blastomyces gilchristii SLH14081	Fungi	9.988	0.652	0.944
1274792	Cunninghamella elegans B9769	Fungi	10.009	0.640	0.920
1406312	Epichloe baconii ATCC 200745	Fungi	10.079	0.657	0.958
914237	Rhynchosporium commune	Fungi	10.117	0.731	0.919
6335	Trichinella nativa	Metazoa	10.191	0.586	0.903
34388	Trichophyton violaceum	Fungi	10.281	0.712	0.933
665079	Sclerotinia sclerotiorum 1980 UF-70	Fungi	10.292	0.611	0.962
249344	Picochlorum	Plants	10.333	0.833	1.000
7173	Anopheles arabiensis	Metazoa	10.356	0.693	1.000
1215331	Trichophyton soudanense CBS 452.61	Fungi	10.375	0.625	1.000
696254	Mrakia blollopis	Fungi	10.378	0.604	0.922
290292	Penicillium sp. 'occitanis'	Fungi	10.507	0.651	0.829
282269	Fusarium meridionale	Fungi	10.533	0.833	1.000
5061	Aspergillus niger	Fungi	10.539	0.681	0.978
1263492	Curvularia lunata CX-3	Fungi	10.556	0.642	0.927
91422	Polistes metricus	Metazoa	10.581	0.689	1.000
2006383	Escovopsis sp. Ae724	Fungi	10.605	0.632	1.000
1033177	Aspergillus kawachii IFO 4308	Fungi	10.617	0.715	0.957
92179	Trichinella sp. T6	Metazoa	10.687	0.565	0.944
1582338	Morchella eximia	Fungi	10.688	0.625	0.929
34691	Anopheles quadriannulatus	Metazoa	10.712	0.725	0.987
986946	Aspergillus novoparasiticus	Fungi	10.757	0.739	0.986
647933	Trichophyton tonsurans CBS 112818	Fungi	10.804	0.621	0.920
451674	Fusarium sp. Na10	Fungi	10.848	0.719	0.978
2562444	Scedosporium sp. IMV 00882	Fungi	10.862	0.707	1.000
13290	Tilletia caries	Fungi	10.986	0.630	0.970
1355412	Tolypocladium sp. Salcha MEA-2	Fungi	11.078	0.661	0.931
157183	Tilletia laevis	Fungi	11.082	0.645	0.963
1940567	Juglanconis juglandina	Fungi	11.091	0.730	0.951
2056393	Chloroidium sp. JM	Plants	11.103	0.574	0.882
1448319	Aspergillus fijiensis CBS 313.89	Fungi	11.106	0.765	0.966
1325616	Butyriboletus roseoflavus	Fungi	11.121	0.643	0.957
602698	Aphaenogaster picea	Metazoa	11.136	0.500	0.800
308745	Aspergillus rambellii	Fungi	11.196	0.698	0.891
61420	Aspergillus caelatus	Fungi	11.205	0.705	1.000
1518534	Anopheles coluzzii	Metazoa	11.206	0.698	0.979
2654411	Metschnikowia sp. UWOPS 12.619.2	Fungi	11.208	0.659	0.930
7234	Drosophila persimilis	Metazoa	11.225	0.788	1.000
5050	Epichloe uncinata	Fungi	11.316	0.701	0.991
559305	Trichophyton rubrum CBS 118892	Fungi	11.333	0.625	0.923
209559	Aspergillus alliaceus	Fungi	11.344	0.698	0.917
282267	Fusarium asiaticum	Fungi	11.378	0.776	0.964
559297	Blastomyces dermatitidis ER-3	Fungi	11.557	0.649	0.942
13291	Tilletia controversa	Fungi	11.568	0.671	1.000
128442	Talaromyces pinophilus	Fungi	11.597	0.660	0.949
60169	Penicillium polonicum	Fungi	11.617	0.710	0.978
2488753	Penicillium sp. SPG-F1	Fungi	11.635	0.577	0.929
28641	Bombus	Metazoa	11.698	0.791	1.000
38038	Rhynchosporium secalis	Fungi	11.702	0.756	0.979
1341132	Aspergillus welwitschiae	Fungi	11.712	0.712	0.939
5466	Colletotrichum trifolii	Fungi	11.721	0.741	0.927
1276135	Metarhizium anisopliae ARSEF 549	Fungi	11.740	0.767	0.980
88771	Ceratocystis platani	Fungi	11.754	0.738	1.000
7237	Drosophila pseudoobscura	Metazoa	11.832	0.772	1.000
418126	Curvularia geniculata	Fungi	11.832	0.654	0.854
1137211	Aspergillus luchuensis CBS 106.47	Fungi	11.852	0.703	1.000
1450534	Aspergillus brunneoviolaceus CBS 621.78	Fungi	11.939	0.745	0.949
984309	Ciboria shiraiana	Fungi	11.949	0.647	0.881
1344566	Epichloe sp. AL9924	Fungi	11.975	0.713	1.000
79588	Epichloe bromicola	Fungi	12.015	0.741	0.974
