mutation_rate	numQueriesMapped	numQueriesMappedOnlyAsMatch	numQueriesMappedOnlyAsSameSpecies	numQueriesMappedOnlyAsSameGenus	numQueriesMappedOnlyAsSameFamily	numQueriesMappedWhenMapqAtLeast30	numQueriesMappedOnlyAsMatchWhenMapqAtLeast30	numQueriesMappedOnlyAsSameSpeciesWhenMapqAtLeast30	numQueriesMappedOnlyAsSameGenusWhenMapqAtLeast30	numQueriesMappedOnlyAsSameFamilyWhenMapqAtLeast30	numBuscosMapped	numBuscosMappedOnlyAsMatch	numBuscosMappedOnlyAsSameSpecies	numBuscosMappedOnlyAsSameGenus	numBuscosMappedOnlyAsSameFamily	meanIdentitiesMappedOnlyAsMatch	meanIdentitiesMappedOnlyAsSameSpecies	meanIdentitiesMappedOnlyAsSameGenus	meanIdentitiesMappedOnlyAsSameFamily	meanTopIdentityPerQuery	mapqsAvg	mapqsFractionAtLeast30	mapqsFraction42	query_lengthsAvg	query_lengthsFractionAtLeast60	numQueriesTotal	numBuscosTotal	precisionQueries	precisionBuscos	recallQueries	recallBuscos	precisionSameSpeciesQueries	recallSameSpeciesQueries	precisionSameGenusQueries	recallSameGenusQueries	precisionSameFamilyQueries	recallSameFamilyQueries	precisionWhenMapqAtLeast30Queries	recallWhenMapqAtLeast30Queries	precisionSameSpeciesWhenMapqAtLeast30Queries	recallSameSpeciesWhenMapqAtLeast30Queries	precisionSameGenusWhenMapqAtLeast30Queries	recallSameGenusWhenMapqAtLeast30Queries	precisionSameFamilyWhenMapqAtLeast30Queries	recallSameFamilyWhenMapqAtLeast30Queries	base_error_rate	read_length
0.000	956855	910309	913013	952018	955129	880395	877437	877626	880107	880284	443515	433370	433960	442451	443153	0.9967254873344211	0.9967246183777331	0.9964016544033981	0.9963340819677791	0.9998148686049161	35.293168027724185	0.828812441605511	0.6247677284099761	100	1	956857	443515	0.9513552210104981	0.9771259145688421	0.9513532325101871	0.9771259145688421	0.9541811455236161	0.9541791511166241	0.9949448976072651	0.994942817996837	0.9981961739239481	0.998194087517779	0.9966401444806021	0.9169990918183171	0.9968548208474601	0.9171966134960601	0.999672874107644	0.9197894774245261	0.999873920228988	0.9199744580433641	0	100
0.001	956857	911171	913783	952082	955216	863212	860544	860696	862952	863084	443515	433775	434353	442494	443191	0.9962272716719021	0.9962255819254201	0.9959086221748361	0.9958455781649901	0.999763884815532	35.001681551374844	0.8121574387746511	0.626190293299556	100	1	956857	443515	0.952254098574813	0.97803907421395	0.952254098574813	0.97803907421395	0.954983869062984	0.954983869062984	0.9950097036443271	0.9950097036443271	0.9982850101948351	0.9982850101948351	0.9969092181294971	0.8993444161457771	0.997085304652854	0.8995032695585651	0.999698799367942	0.901860988632575	0.99985171661191	0.9019989402805221	0	100
0.010	950089	906222	908829	945720	948494	757947	756574	756645	757834	757901	440485	431223	431751	439579	440125	0.991027295936953	0.9910268986174121	0.990774967170377	0.99073427199893	0.9971533175792031	33.10061631578947	0.7187563157894731	0.576591578947368	100	1	956857	443515	0.9538285360634631	0.9789731772932101	0.947081956865027	0.972285041092184	0.9565724895246651	0.9498065019119881	0.995401483439972	0.9883608522485591	0.9983212099077031	0.9912599270319391	0.9981885276938881	0.7906865916223631	0.9982822017898351	0.7907607928875471	0.9998509130585641	0.7920034028073161	0.999939309740654	0.792073423719531	0	100
0.025	954083	911346	913957	949751	952478	660953	660323	660385	660900	660928	443032	433812	434374	442107	442689	0.981293635839747	0.98129151669168	0.9811132621356031	0.9810827797613381	0.989813783927271	30.073410629784437	0.6069918535294191	0.34800674480306804	100	1	956857	443515	0.95520620323389	0.9791888622040841	0.9524369890171671	0.9781224986753541	0.9579428624134371	0.9551657144170961	0.99545951452861	0.9925736029521651	0.998317756421611	0.9954235585881691	0.9990468308639191	0.6900958032391461	0.9991406348106441	0.690160598710152	0.9999198127552181	0.690698819154795	0.9999621758279331	0.6907280816255721	0	100
0.050	918825	878420	880962	914968	917323	377351	377172	377186	377324	377339	436094	426947	427531	435216	435746	0.965254639196743	0.9652563834673381	0.96515594324993	0.965142258735976	0.9760888397757971	21.98723058611505	0.316693714508329	0.08477387691677701	100	1	956857	443515	0.956025358474138	0.97902516429944	0.9180264135602291	0.9626438790119831	0.9587919353522161	0.9206830278714581	0.9958022474355831	0.956222298629784	0.9983653035126381	0.9586834814397551	0.9995256405839651	0.39417802242132305	0.9995627413204151	0.394192653656711	0.9999284485797041	0.39433687583411103	0.999968199368757	0.394352552157741	0	100
0.075	825432	790255	792466	822169	824166	146383	146351	146355	146379	146381	415621	406536	407072	414826	415291	0.9509852145013511	0.9509865432305351	0.95092535265285	0.9509177377205731	0.962338018087537	13.62820826172664	0.11927181018105101	0.019054772499711003	100	1	956857	443515	0.957383527655821	0.9781411430125041	0.8258862087020311	0.9166228876137221	0.960062125044825	0.82819689880515	0.99604691846209	0.85923915485804	0.9984662576687111	0.861326196077365	0.9997813953806111	0.15294970930870502	0.9998087209580341	0.152953889661673	0.9999726744225761	0.152978971779482	0.999986337211288	0.152981061955966	0	100
0.100	682206	653476	655250	679600	681174	47950	47941	47942	47949	47950	377556	368301	368810	376728	377232	0.939829742227781	0.9398288263395991	0.9398002194640911	0.9397946439570241	0.949361756601078	7.697474194169484	0.044761775841353005	0.005386917198534001	100	1	956857	443515	0.9578866207567801	0.9754870800622951	0.682940084045996	0.830413852970023	0.960487008322999	0.6847940705873501	0.996180039460221	0.7102419692806761	0.9984872604462581	0.711886938173624	0.9998123044838371	0.050102575410954	0.9998331595411881	0.050103620499196005	0.9999791449426481	0.050110936116891006	1.0	0.050111981205133	0	100
0.125	506107	484574	485781	504156	505363	14806	14802	14802	14806	14806	317001	308018	308495	316189	316685	0.9320980582653261	0.9320984442266391	0.9320653051730561	0.932059609745519	0.93858395922803	4.412543834981439	0.019643721597949002	0.001968481187714	100	1	956857	443515	0.9574536609847321	0.9716625499604101	0.506422589791369	0.6944928581896891	0.9598385321680981	0.507684011299494	0.996145083944699	0.526887507746716	0.9985299551280651	0.528148929254841	0.9997298392543561	0.015469396158464	0.9997298392543561	0.015469396158464	1.0	0.015473576511432002	1.0	0.015473576511432002	0	100
0.150	326243	312146	312933	325002	325787	4090	4090	4090	4090	4090	235211	227471	227876	234536	234961	0.926670466016391	0.926671249804749	0.926643259374168	0.926639269403385	0.9304099244892131	2.677948231084171	0.00945049728649	0.000753118595639	100	1	956857	443515	0.956789877483961	0.9670933757349781	0.32622011439535903	0.512882315141539	0.959202189778784	0.327042598841833	0.99619608696585	0.339655768834841	0.9986022688609411	0.34047616310483103	1.0	0.004274410909885	1.0	0.004274410909885	1.0	0.004274410909885	1.0	0.004274410909885	0	100
0.175	181260	173380	173840	180549	180982	1054	1053	1053	1054	1054	148041	142602	142902	147555	147864	0.9226895059351111	0.9226889378683311	0.9226541851743331	0.922650181266874	0.9245711292399821	1.738879698344777	0.004879716828553001	0.00034194985351600004	100	1	956857	443515	0.9565265364669531	0.9632601779236831	0.18119739940241802	0.32152689311522703	0.9590643274853801	0.18167813999375002	0.9960774577954321	0.1886896370095	0.99846629151495	0.18914216021829802	0.9990512333965841	0.001100477918853	0.9990512333965841	0.001100477918853	1.0	0.001101523007095	1.0	0.001101523007095	0	100
0.200	87329	83332	83569	86963	87190	240	240	240	240	240	78642	75283	75476	78331	78527	0.9196775862214651	0.9196766927330361	0.919658459839307	0.9196575993692561	0.9205203123475961	1.154772957241062	0.002514004360389	0.000156473300439	100	1	956857	443515	0.9542305534244061	0.9572874545408301	0.08708929338448601	0.16974172237692	0.9569444285403471	0.087336979297847	0.995808952352597	0.090884008791282	0.9984083179699751	0.091121243822222	1.0	0.000250821178086	1.0	0.000250821178086	1.0	0.000250821178086	1.0	0.000250821178086	0	100
