# Summary: 
# | Name | No results | One result, correct genus | Many results, correct genus | One result, incorrect genus | Many results, incorrect genus | Signal detected | Detected signal is one species |
# | -- | -- | -- | -- | -- | -- | -- | -- |
# | No filter | 58 | 16 | 68 | 22 | 174 | 0.828 | 0.136 |
# | m2 | 105 | 43 | 92 | 16 | 82 | 0.689 | 0.253 |
# | M30 | 186 | 68 | 51 | 15 | 18 | 0.45 | 0.546 |
# | r4 | 131 | 50 | 83 | 15 | 59 | 0.612 | 0.314 |
# | m2M30 | 211 | 61 | 43 | 14 | 9 | 0.376 | 0.591 |
# | m2r4 | 132 | 50 | 83 | 15 | 58 | 0.609 | 0.316 |
# | r4M30 | 219 | 59 | 40 | 16 | 4 | 0.352 | 0.63 |
# | m2r4M30 | 221 | 59 | 39 | 15 | 4 | 0.346 | 0.632 |
# | EukDetect | 221 | 80 | 18 | 15 | 4 | 0.346 | 0.812 |
# | modified EukDetect (MAPQ>=5) | 179 | 77 | 41 | 19 | 22 | 0.47 | 0.604 |
# | our method | 133 | 107 | 29 | 57 | 12 | 0.607 | 0.8 |
# Values legend: 
# NR: No results
# OC: One result, correct genus
# MC: Many results, correct genus
# OI: One result, incorrect genus
# MI: Many results, incorrect genus
#
species	No filter	m2	M30	r4	m2M30	m2r4	r4M30	m2r4M30	EukDetect	modified EukDetect (MAPQ>=5)	our method
2769|Chondrus crispus	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
2898|Cryptomonas paramecium	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
3037|Euglena longa	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
3088|Tetradesmus obliquus	MI	MI	MI	MI	OI	MI	OI	OI	OI	MI	MI
3165|Tetraselmis striata	MI	MI	NR	OC	NR	OC	NR	NR	NR	NR	OI
4786|Phytophthora cryptogea	MC	MC	NR	MC	NR	MC	NR	NR	NR	NR	MC
4921|Pichia norvegensis	MC	MC	NR	OC	NR	OC	NR	NR	NR	NR	OC
5050|Epichloe uncinata	MC	MC	MC	MC	MC	MC	MC	MC	OC	OC	MC
5078|Penicillium griseofulvum	MC	MC	NR	MC	NR	MC	NR	NR	NR	MC	OC
5093|Byssochlamys nivea	MI	MI	OC	MI	OC	MI	OC	OC	OC	OC	OC
5481|Diutina rugosa	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
5554|Cutaneotrichosporon cutaneum	MI	MI	NR	MI	NR	MI	NR	NR	NR	OI	OI
5599|Alternaria alternata	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC
5705|Endotrypanum monterogeii	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
